Mean	Weight	in	Stock	(kilograms)			
1	4						
1986	2009						
0	7						
1							
0.003	0.022	0.046	0.065	0.095	0.132	0.160	0.265
0.003	0.036	0.053	0.071	0.094	0.127	0.152	0.242
0.003	0.039	0.057	0.079	0.104	0.139	0.168	0.281
0.003	0.043	0.066	0.090	0.112	0.145	0.167	0.276
0.002	0.028	0.065	0.106	0.141	0.156	0.184	0.273
0.003	0.033	0.073	0.117	0.125	0.166	0.191	0.264
0.003	0.032	0.073	0.110	0.125	0.161	0.226	0.359
0.002	0.023	0.074	0.118	0.143	0.178	0.220	0.297
0.003	0.033	0.069	0.092	0.121	0.153	0.181	0.245
0.003	0.043	0.066	0.092	0.100	0.146	0.169	0.256
0.002	0.038	0.062	0.074	0.112	0.137	0.213	0.232
0.003	0.032	0.056	0.080	0.097	0.126	0.180	0.252
0.003	0.033	0.063	0.086	0.112	0.142	0.180	0.294
0.004	0.036	0.070	0.090	0.101	0.147	0.197	0.268
0.004	0.035	0.080	0.086	0.100	0.132	0.170	0.228
0.003	0.042	0.069	0.091	0.106	0.123	0.166	0.255
0.004	0.042	0.071	0.103	0.128	0.170	0.210	0.247
0.004	0.043	0.071	0.094	0.125	0.142	0.201	0.247
0.002	0.040	0.066	0.086	0.111	0.132	0.175	0.235
0.003	0.049	0.06	0.087	0.111	0.123	0.133	0.198
0.002	0.034	0.07	0.094	0.107	0.138	0.179	0.236
0.003	0.041	0.067	0.088	0.116	0.124	0.153	0.198
0.003	0.044	0.076	0.091	0.113	0.151	0.201	0.235
0.002	0.034	0.061	0.081	0.108	0.143	0.175	0.288
