Catch	in	Numbers	(thousands)			
1	2					
1986	2009					
1	7					
1						
1013	1952	668	639	501	201	194
2020	2303	752	394	289	80	71
2977	3344	1038	738	530	181	130
760	1903	678	631	501	190	253
4230	2135	775	868	329	376	558
1018	2352	801	690	643	141	59
1062	392	677	1120	591	77	68
519	1703	312	526	357	102	36
40	432	1784	549	624	330	119
509	36	254	620	241	69	72
198	1486	37	279	502	147	81
82	1062	1011	76	362	305	116
77	882	1205	881	214	328	149
20	240	960	693	442	105	207
9	122	598	507	361	83	161
40	305	300	244	220	160	118
31	151	310	86	164	80	37
129	242	265	175	80	54	48
46	236	205	242	184	100	71
123	215	400	160	152	86	41
91      418     467     248     170     106     36
79	161	232	297	142	81	56
7	284	207	148	166	60	35
28	90	144	95	73	57	28
	
