"MFYPR version 2a"
"Run: MEG"
"Time and date: 10:33 26/04/2010"
"Yield per results"
"FMult","Fbar","CatchNos","Yield","StockNos","Biomass","SpwnNosJan","SSBJan","SpwnNosSpwn","SSBSpwn"
"0.0000","0.0000","0.0000","0.0000","5.5167","1.1310","4.7748","1.0821","4.7748","1.0821"
"0.1000","0.0190","0.0846","0.0205","5.0952","0.9817","4.3535","0.9329","4.3535","0.9329"
"0.2000","0.0379","0.1518","0.0351","4.7608","0.8659","4.0192","0.8170","4.0192","0.8170"
"0.3000","0.0569","0.2065","0.0457","4.4890","0.7739","3.7476","0.7251","3.7476","0.7251"
"0.4000","0.0758","0.2518","0.0535","4.2639","0.6995","3.5226","0.6507","3.5226","0.6507"
"0.5000","0.0948","0.2900","0.0593","4.0742","0.6385","3.3331","0.5896","3.3331","0.5896"
"0.6000","0.1138","0.3227","0.0636","3.9122","0.5876","3.1712","0.5388","3.1712","0.5388"
"0.7000","0.1327","0.3510","0.0669","3.7723","0.5448","3.0314","0.4960","3.0314","0.4960"
"0.8000","0.1517","0.3757","0.0692","3.6501","0.5084","2.9094","0.4597","2.9094","0.4597"
"0.9000","0.1707","0.3975","0.0710","3.5424","0.4772","2.8018","0.4285","2.8018","0.4285"
"1.0000","0.1896","0.4169","0.0723","3.4467","0.4503","2.7063","0.4015","2.7063","0.4015"
"1.1000","0.2086","0.4343","0.0733","3.3611","0.4268","2.6208","0.3780","2.6208","0.3780"
"1.2000","0.2275","0.4500","0.0739","3.2840","0.4061","2.5438","0.3574","2.5438","0.3574"
"1.3000","0.2465","0.4642","0.0744","3.2141","0.3880","2.4741","0.3393","2.4741","0.3393"
"1.4000","0.2655","0.4772","0.0747","3.1505","0.3719","2.4106","0.3231","2.4106","0.3231"
"1.5000","0.2844","0.4891","0.0749","3.0922","0.3575","2.3525","0.3088","2.3525","0.3088"
"1.6000","0.3034","0.5000","0.0750","3.0386","0.3446","2.2991","0.2959","2.2991","0.2959"
"1.7000","0.3224","0.5101","0.0750","2.9892","0.3330","2.2497","0.2844","2.2497","0.2844"
"1.8000","0.3413","0.5195","0.0750","2.9433","0.3226","2.2040","0.2739","2.2040","0.2739"
"1.9000","0.3603","0.5283","0.0749","2.9007","0.3130","2.1615","0.2644","2.1615","0.2644"
"2.0000","0.3792","0.5364","0.0748","2.8609","0.3044","2.1219","0.2557","2.1219","0.2557"
""
"Reference point","F multiplier","Absolute F"
"Fbar(2-4)","1.0000","0.1896"
"FMax","1.6778","0.3182"
"F0.1","0.7446","0.1412"
"F35%SPR","1.0966","0.2079"
"Flow","0.6050","0.1147"
"Fmed","1.1852","0.2247"
"Fhigh","4.0998","0.7774"
""
"Weights in kilograms"
