"MFDP version 1a"
"Run: MEG"
"Time and date: 09:07 26/04/2010"
"Fbar age range: 2-4"
""
""
2010
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
1,2729,.2,.34,0,0,.0629,.0178,.0629
2,1276,.2,.9,0,0,9.01666666666667E-02,.1052,9.01666666666667E-02
3,1114,.2,1,0,0,.121,.188766666666667,.121
4,1268,.2,1,0,0,.150333333333333,.2749,.150333333333333
5,648,.2,1,0,0,.191066666666667,.337933333333333,.191066666666667
6,265,.2,1,0,0,.2439,.256833333333333,.2439
7,267,.2,1,0,0,.394266666666667,.256833333333333,.394266666666667
""
2011
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
1,2729,.2,.34,0,0,.0629,.0178,.0629
2,".",.2,.9,0,0,9.01666666666667E-02,.1052,9.01666666666667E-02
3,".",.2,1,0,0,.121,.188766666666667,.121
4,".",.2,1,0,0,.150333333333333,.2749,.150333333333333
5,".",.2,1,0,0,.191066666666667,.337933333333333,.191066666666667
6,".",.2,1,0,0,.2439,.256833333333333,.2439
7,".",.2,1,0,0,.394266666666667,.256833333333333,.394266666666667
""
2012
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
1,2729,.2,.34,0,0,.0629,.0178,.0629
2,".",.2,.9,0,0,9.01666666666667E-02,.1052,9.01666666666667E-02
3,".",.2,1,0,0,.121,.188766666666667,.121
4,".",.2,1,0,0,.150333333333333,.2749,.150333333333333
5,".",.2,1,0,0,.191066666666667,.337933333333333,.191066666666667
6,".",.2,1,0,0,.2439,.256833333333333,.2439
7,".",.2,1,0,0,.394266666666667,.256833333333333,.394266666666667
""

"Input units are thousands and kg - output in tonnes"
