"MFDP version 1a"
"Run: MEG"
"Time and date: 09:07 26/04/2010"
"Fbar age range: 2-4"
""
""
"Year: ",2010,"F multiplier: ","1.0000","Fbar: ","0.1896"
"Age","F","CatchNos","Yield","StockNos","Biomass","SSNos(Jan)","SSB(Jan)","SSNos(ST)"," SSB(ST)"
1,"0.0178","44","3","2729","172","928","58","928","58"
2,"0.1052","116","10","1276","115","1148","104","1148","104"
3,"0.1888","174","21","1114","135","1114","135","1114","135"
4,"0.2749","277","42","1268","191","1268","191","1268","191"
5,"0.3379","169","32","648","124","648","124","648","124"
6,"0.2568","55","13","265","65","265","65","265","65"
7,"0.2568","55","22","267","105","267","105","267","105"
"Total","","890","143","7567","906","5638","781","5638","781"
""
"Year: ",2011,"F multiplier: ","1.0000","Fbar: ","0.1896"
"Age","F","CatchNos","Yield","StockNos","Biomass","SSNos(Jan)","SSB(Jan)","SSNos(ST)"," SSB(ST)"
1,"0.0178","44","3","2729","172","928","58","928","58"
2,"0.1052","199","18","2195","198","1975","178","1975","178"
3,"0.1888","147","18","940","114","940","114","940","114"
4,"0.2749","165","25","755","114","755","114","755","114"
5,"0.3379","206","39","789","151","789","151","789","151"
6,"0.2568","78","19","378","92","378","92","378","92"
7,"0.2568","69","27","337","133","337","133","337","133"
"Total","","909","149","8123","973","6103","840","6103","840"
""
""
"Year: ",2012,"F multiplier: ","1.0000","Fbar: ","0.1896"
"Age","F","CatchNos","Yield","StockNos","Biomass","SSNos(Jan)","SSB(Jan)","SSNos(ST)"," SSB(ST)"
1,"0.0178","44","3","2729","172","928","58","928","58"
2,"0.1052","199","18","2195","198","1975","178","1975","178"
3,"0.1888","253","31","1618","196","1618","196","1618","196"
4,"0.2749","140","21","637","96","637","96","637","96"
5,"0.3379","123","23","470","90","470","90","470","90"
6,"0.2568","95","23","461","112","461","112","461","112"
7,"0.2568","93","37","453","179","453","179","453","179"
"Total","","946","156","8562","1042","6542","909","6542","909"
""
""

"Input units are thousands and kg - output in tonnes"
